Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,API Gasoline Stocks,2017-05-19T00:00:00,-3.151,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-05-26T00:00:00,-1.726,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-06-02T00:00:00,4.08,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-06-09T00:00:00,1.794,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-06-16T00:00:00,0.346,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-06-23T00:00:00,1.35,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-06-30T00:00:00,-5.665,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-07-07T00:00:00,-0.801,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-07-14T00:00:00,-5.448,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-07-21T00:00:00,1.903,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-07-28T00:00:00,-4.827,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-08-04T00:00:00,1.529,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-08-11T00:00:00,0.301,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-08-18T00:00:00,1.402,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-08-25T00:00:00,0.476,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-09-01T00:00:00,-2.544,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-09-08T00:00:00,-7.896,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-09-15T00:00:00,-5.063,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-09-22T00:00:00,1.47,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-09-29T00:00:00,4.91,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-10-06T00:00:00,-1.575,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-10-13T00:00:00,1.941,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-10-20T00:00:00,-5.753,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
United States,API Gasoline Stocks,2017-10-27T00:00:00,-7.697,Weekly,UNITEDSTAAPIGASSTO,2020-07-20T11:11:00
