Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Asylum Applications,2000-12-31T00:00:00,40748,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2001-12-31T00:00:00,61710,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2002-12-31T00:00:00,57957,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2003-12-31T00:00:00,38749,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2004-12-31T00:00:00,26729,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2005-12-31T00:00:00,24616,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2006-12-31T00:00:00,25277,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2007-12-31T00:00:00,25367,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2008-12-31T00:00:00,42836,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2009-12-31T00:00:00,35812,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2010-12-31T00:00:00,32885,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2011-12-31T00:00:00,41466,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2012-12-31T00:00:00,44588,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2013-12-31T00:00:00,43517,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2014-12-31T00:00:00,47624,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2015-12-31T00:00:00,63791,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2016-12-31T00:00:00,82842,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2017-12-31T00:00:00,145459,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2018-12-31T00:00:00,164754,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2019-12-31T00:00:00,214249,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2020-12-31T00:00:00,191367,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
