Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Car Production,1967-01-31T00:00:00,7.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-02-28T00:00:00,6.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-03-31T00:00:00,7.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-04-30T00:00:00,7.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-05-31T00:00:00,7.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-06-30T00:00:00,7.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-07-31T00:00:00,7.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-08-31T00:00:00,7.6,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-09-30T00:00:00,7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-10-31T00:00:00,7.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-11-30T00:00:00,8.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1967-12-31T00:00:00,9,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-01-31T00:00:00,8.9,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-02-29T00:00:00,8.9,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-03-31T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-04-30T00:00:00,9.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-05-31T00:00:00,9.3,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-06-30T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-07-31T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-08-31T00:00:00,9,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-09-30T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-10-31T00:00:00,9.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-11-30T00:00:00,9.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1968-12-31T00:00:00,9.3,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-01-31T00:00:00,9,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-02-28T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-03-31T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-04-30T00:00:00,8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-05-31T00:00:00,7.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-06-30T00:00:00,8.6,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-07-31T00:00:00,8.6,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-08-31T00:00:00,8.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-09-30T00:00:00,8.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-10-31T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-11-30T00:00:00,8.3,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1969-12-31T00:00:00,8.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-01-31T00:00:00,7.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-02-28T00:00:00,6.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-03-31T00:00:00,7.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-04-30T00:00:00,7.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-05-31T00:00:00,8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-06-30T00:00:00,8.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-07-31T00:00:00,7.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-08-31T00:00:00,6.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-09-30T00:00:00,5.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-10-31T00:00:00,4.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-11-30T00:00:00,4.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1970-12-31T00:00:00,7.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-01-31T00:00:00,8.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-02-28T00:00:00,9.1,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-03-31T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-04-30T00:00:00,8.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-05-31T00:00:00,8.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-06-30T00:00:00,8.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-07-31T00:00:00,8.6,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-08-31T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-09-30T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-10-31T00:00:00,8.7,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-11-30T00:00:00,8.6,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1971-12-31T00:00:00,8.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-01-31T00:00:00,8.2,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-02-29T00:00:00,8.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-03-31T00:00:00,8.4,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-04-30T00:00:00,8.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-05-31T00:00:00,8.5,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-06-30T00:00:00,8.3,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
United States,Car Production,1972-07-31T00:00:00,8.8,Monthly,UNITEDSTACARPRO,2015-07-13T15:56:00
