Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Car Registrations,1975-01-31T00:00:00,570.4,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-02-28T00:00:00,590,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1975-03-31T00:00:00,635.4,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1975-04-30T00:00:00,581.3,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-05-31T00:00:00,656.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-06-30T00:00:00,735.6,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1975-07-31T00:00:00,764.9,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-08-31T00:00:00,735.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-09-30T00:00:00,738.9,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-10-31T00:00:00,799.2,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1975-11-30T00:00:00,632.6,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1975-12-31T00:00:00,820.9,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-01-31T00:00:00,676.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-02-29T00:00:00,634.5,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1976-03-31T00:00:00,763.9,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-04-30T00:00:00,883.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-05-31T00:00:00,914,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1976-06-30T00:00:00,936.9,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-07-31T00:00:00,939.2,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-08-31T00:00:00,848.1,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1976-09-30T00:00:00,749.3,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-10-31T00:00:00,797,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-11-30T00:00:00,762.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1976-12-31T00:00:00,845.6,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-01-31T00:00:00,726,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1977-02-28T00:00:00,717.2,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-03-31T00:00:00,836.4,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-04-30T00:00:00,924.1,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-05-31T00:00:00,1014.8,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1977-06-30T00:00:00,1050.2,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-07-31T00:00:00,1012.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-08-31T00:00:00,1026.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-09-30T00:00:00,918.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-10-31T00:00:00,865.8,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1977-11-30T00:00:00,787.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1977-12-31T00:00:00,945.7,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-01-31T00:00:00,703.1,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1978-02-28T00:00:00,766.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-03-31T00:00:00,869.8,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-04-30T00:00:00,915.9,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1978-05-31T00:00:00,987.4,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-06-30T00:00:00,1053.5,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-07-31T00:00:00,1061.6,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1978-08-31T00:00:00,1060.6,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-09-30T00:00:00,887.4,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-10-31T00:00:00,866,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1978-11-30T00:00:00,825.5,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1978-12-31T00:00:00,948.5,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-01-31T00:00:00,754,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-02-28T00:00:00,763,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-03-31T00:00:00,913,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-04-30T00:00:00,956,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1979-05-31T00:00:00,987,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-06-30T00:00:00,878,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-07-31T00:00:00,913,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1979-08-31T00:00:00,877,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-09-30T00:00:00,852,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1979-10-31T00:00:00,887,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-11-30T00:00:00,729,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1979-12-31T00:00:00,836,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1980-01-31T00:00:00,753,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-02-29T00:00:00,701,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-03-31T00:00:00,801,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1980-04-30T00:00:00,787,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-05-31T00:00:00,733,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-06-30T00:00:00,676,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1980-07-31T00:00:00,716,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-08-31T00:00:00,704,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-09-30T00:00:00,702,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-10-31T00:00:00,747,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1980-11-30T00:00:00,730,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1980-12-31T00:00:00,711,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-01-31T00:00:00,636,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-02-28T00:00:00,675,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1981-03-31T00:00:00,849,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1981-04-30T00:00:00,752,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-05-31T00:00:00,731,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-06-30T00:00:00,747,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-07-31T00:00:00,690,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-08-31T00:00:00,721,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1981-09-30T00:00:00,763,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-10-31T00:00:00,654,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1981-11-30T00:00:00,614,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1981-12-31T00:00:00,612,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-01-31T00:00:00,509,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-02-28T00:00:00,546,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-03-31T00:00:00,626,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-04-30T00:00:00,672,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-05-31T00:00:00,708,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1982-06-30T00:00:00,717,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-07-31T00:00:00,626,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-08-31T00:00:00,627,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1982-09-30T00:00:00,625,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-10-31T00:00:00,655,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-11-30T00:00:00,678,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1982-12-31T00:00:00,765,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1983-01-31T00:00:00,595,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1983-02-28T00:00:00,569,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1983-03-31T00:00:00,725,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1983-04-30T00:00:00,728,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1983-05-31T00:00:00,773,Monthly,UNITEDSTACARREG,2015-04-25T14:46:00
United States,Car Registrations,1983-06-30T00:00:00,869,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
United States,Car Registrations,1983-07-31T00:00:00,789,Monthly,UNITEDSTACARREG,2012-09-29T00:18:00
