Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Changes in Inventories,1950-03-31T00:00:00,9.481,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1950-06-30T00:00:00,13.84,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1950-09-30T00:00:00,18.173,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1950-12-31T00:00:00,58.208,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1951-03-31T00:00:00,36.167,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1951-06-30T00:00:00,52.586,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1951-09-30T00:00:00,34.675,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1951-12-31T00:00:00,14.902,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1952-03-31T00:00:00,18.698,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1952-06-30T00:00:00,-4.548,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1952-09-30T00:00:00,20.717,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1952-12-31T00:00:00,20.774,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1953-03-31T00:00:00,16.788,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1953-06-30T00:00:00,16.47,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1953-09-30T00:00:00,9.99,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1953-12-31T00:00:00,-8.565,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1954-03-31T00:00:00,-7.611,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1954-06-30T00:00:00,-12.255,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1954-09-30T00:00:00,-9.763,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1954-12-31T00:00:00,-3.605,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1955-03-31T00:00:00,14.533,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1955-06-30T00:00:00,21.445,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1955-09-30T00:00:00,19.57,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1955-12-31T00:00:00,26.955,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1956-03-31T00:00:00,22.735,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1956-06-30T00:00:00,15.796,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1956-09-30T00:00:00,12.256,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1956-12-31T00:00:00,10.849,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1957-03-31T00:00:00,5.867,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1957-06-30T00:00:00,8.439,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1957-09-30T00:00:00,12.33,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1957-12-31T00:00:00,-11.49,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1958-03-31T00:00:00,-14.383,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1958-06-30T00:00:00,-12.537,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1958-09-30T00:00:00,6.356,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1958-12-31T00:00:00,16.719,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1959-03-31T00:00:00,13.551,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1959-06-30T00:00:00,34.312,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1959-09-30T00:00:00,4.061,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1959-12-31T00:00:00,20.104,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1960-03-31T00:00:00,50.183,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1960-06-30T00:00:00,14.339,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1960-09-30T00:00:00,20.278,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1960-12-31T00:00:00,-23.603,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1961-03-31T00:00:00,-10.761,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1961-06-30T00:00:00,9.285,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1961-09-30T00:00:00,30.813,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1961-12-31T00:00:00,25.565,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1962-03-31T00:00:00,40.399,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1962-06-30T00:00:00,25.377,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1962-09-30T00:00:00,29.761,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1962-12-31T00:00:00,17.67,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1963-03-31T00:00:00,34.752,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1963-06-30T00:00:00,22.918,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1963-09-30T00:00:00,27.202,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1963-12-31T00:00:00,19.871,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1964-03-31T00:00:00,21.209,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1964-06-30T00:00:00,20.35,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1964-09-30T00:00:00,24.384,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1964-12-31T00:00:00,23.32,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1965-03-31T00:00:00,53.435,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1965-06-30T00:00:00,38.497,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1965-09-30T00:00:00,43.355,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
United States,Changes in Inventories,1965-12-31T00:00:00,34.867,Quarterly,UNITEDSTACHAININV,2018-07-27T12:51:00
