Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Competitiveness Index,2007-12-31T00:00:00,5.79,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2008-12-31T00:00:00,5.67,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2009-12-31T00:00:00,5.74,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2010-12-31T00:00:00,5.59,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2011-12-31T00:00:00,5.43,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2012-12-31T00:00:00,5.42,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2013-12-31T00:00:00,5.46,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2014-12-31T00:00:00,5.48,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2015-12-31T00:00:00,5.54,Yearly,UnitedStComInd,2015-06-12T17:19:00
United States,Competitiveness Index,2016-12-31T00:00:00,5.61,Yearly,UnitedStComInd,2015-10-01T11:48:00
United States,Competitiveness Index,2017-12-31T00:00:00,84.84,Yearly,UnitedStComInd,2018-10-18T16:44:00
United States,Competitiveness Index,2018-12-31T00:00:00,85.64,Yearly,UnitedStComInd,2018-10-18T16:30:00
United States,Competitiveness Index,2019-12-31T00:00:00,83.67,Yearly,UnitedStComInd,2019-10-09T17:47:00
