Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Competitiveness Rank,2007-12-31T00:00:00,1,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2008-12-31T00:00:00,1,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2009-12-31T00:00:00,1,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2010-12-31T00:00:00,2,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2011-12-31T00:00:00,4,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2012-12-31T00:00:00,5,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2013-12-31T00:00:00,7,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2014-12-31T00:00:00,5,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2015-12-31T00:00:00,3,Yearly,UnitedStComRan,2015-06-12T17:17:00
United States,Competitiveness Rank,2016-12-31T00:00:00,3,Yearly,UnitedStComRan,2015-10-01T11:46:00
United States,Competitiveness Rank,2017-12-31T00:00:00,1,Yearly,UnitedStComRan,2018-10-18T17:02:00
United States,Competitiveness Rank,2018-12-31T00:00:00,1,Yearly,UnitedStComRan,2018-10-18T17:17:00
United States,Competitiveness Rank,2019-12-31T00:00:00,2,Yearly,UnitedStComRan,2019-10-09T17:48:00
