Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Core Pce Price Index,1959-01-31T00:00:00,16.727,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-02-28T00:00:00,16.74,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-03-31T00:00:00,16.759,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-04-30T00:00:00,16.801,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-05-31T00:00:00,16.822,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-06-30T00:00:00,16.871,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-07-31T00:00:00,16.911,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-08-31T00:00:00,16.938,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-09-30T00:00:00,16.983,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-10-31T00:00:00,17.012,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-11-30T00:00:00,17.043,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1959-12-31T00:00:00,17.069,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-01-31T00:00:00,17.073,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-02-29T00:00:00,17.105,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-03-31T00:00:00,17.107,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-04-30T00:00:00,17.138,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-05-31T00:00:00,17.166,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-06-30T00:00:00,17.176,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-07-31T00:00:00,17.206,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
United States,Core Pce Price Index,1960-08-31T00:00:00,17.231,Monthly,UNITEDSTACORPCEPRIIN,2018-07-31T13:38:00
