Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Coronavirus Deaths,2020-02-22T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-23T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-24T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-25T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-26T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-27T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-28T00:00:00,1,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-02-29T00:00:00,2,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-01T00:00:00,2,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-02T00:00:00,7,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-03T00:00:00,8,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-04T00:00:00,12,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-05T00:00:00,13,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-06T00:00:00,15,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-07T00:00:00,18,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-08T00:00:00,22,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-09T00:00:00,24,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-10T00:00:00,29,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-11T00:00:00,34,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-12T00:00:00,44,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-13T00:00:00,52,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-14T00:00:00,60,Daily,USCOVIDDT,2021-05-24T09:51:00
United States,Coronavirus Deaths,2020-03-15T00:00:00,71,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-16T00:00:00,98,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-17T00:00:00,137,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-18T00:00:00,198,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-19T00:00:00,273,Daily,USCOVIDDT,2021-07-09T20:53:00
United States,Coronavirus Deaths,2020-03-20T00:00:00,379,Daily,USCOVIDDT,2021-07-09T20:53:00
