Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Coronavirus Recovered,2020-01-21T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-22T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-23T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-24T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-27T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-28T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-29T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-30T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-01-31T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-03T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-04T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-05T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-06T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-07T00:00:00,0,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-10T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-11T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-12T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-13T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-14T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-17T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-18T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-19T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-20T00:00:00,3,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-21T00:00:00,5,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-24T00:00:00,5,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-25T00:00:00,6,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-26T00:00:00,6,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-27T00:00:00,6,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-02-28T00:00:00,7,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-02T00:00:00,7,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-03T00:00:00,8,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-04T00:00:00,9,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-05T00:00:00,9,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-06T00:00:00,9,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-09T00:00:00,15,Daily,USCOVIDRT,2020-10-29T17:32:00
United States,Coronavirus Recovered,2020-03-10T00:00:00,15,Daily,USCOVIDRT,2020-10-29T17:32:00
