Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Coronavirus Vaccination Rate,2020-12-14T00:00:00,0,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-15T00:00:00,0.02,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-16T00:00:00,0.06,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-17T00:00:00,0.14,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-18T00:00:00,0.26,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-21T00:00:00,0.18,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-22T00:00:00,0.18,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-23T00:00:00,0.3,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-24T00:00:00,0.3,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-25T00:00:00,0.3,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-28T00:00:00,0.64,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-29T00:00:00,0.64,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-30T00:00:00,0.84,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2020-12-31T00:00:00,0.84,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-01T00:00:00,0.84,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-04T00:00:00,1.36,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-05T00:00:00,1.45,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-06T00:00:00,1.59,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-07T00:00:00,1.77,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-08T00:00:00,2,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-11T00:00:00,2.69,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-12T00:00:00,2.79,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-13T00:00:00,3.07,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-14T00:00:00,3.33,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-15T00:00:00,3.67,Daily,USCOVIDVR,2021-04-20T18:47:00
United States,Coronavirus Vaccination Rate,2021-01-18T00:00:00,3.67,Daily,USCOVIDVR,2021-04-20T18:47:00
