Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Coronavirus Vaccination Total,2020-12-14T00:00:00,8285,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-15T00:00:00,55662,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-16T00:00:00,211599,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-17T00:00:00,477117,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-18T00:00:00,877102,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-21T00:00:00,614117,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-22T00:00:00,614117,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-23T00:00:00,1008025,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-24T00:00:00,1008025,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-25T00:00:00,1008025,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-28T00:00:00,2127143,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-29T00:00:00,2127143,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-30T00:00:00,2794588,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2020-12-31T00:00:00,2794588,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-01T00:00:00,2794588,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-04T00:00:00,4563260,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-05T00:00:00,4836469,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-06T00:00:00,5306797,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-07T00:00:00,5919418,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-08T00:00:00,6688231,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-11T00:00:00,8987322,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-12T00:00:00,9327138,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-13T00:00:00,10278462,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-14T00:00:00,11148991,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-15T00:00:00,12279180,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-18T00:00:00,12279180,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-19T00:00:00,15707588,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-20T00:00:00,16525281,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-21T00:00:00,17546374,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-22T00:00:00,19107959,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-25T00:00:00,22734243,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-26T00:00:00,23540994,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-27T00:00:00,24652634,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-28T00:00:00,26193682,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-01-29T00:00:00,27884661,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-01T00:00:00,32222402,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-02T00:00:00,32780860,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-03T00:00:00,33878254,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-04T00:00:00,35203710,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-05T00:00:00,36819212,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-08T00:00:00,42417617,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-09T00:00:00,43206190,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-10T00:00:00,44769970,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-11T00:00:00,46390270,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-12T00:00:00,48410558,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-15T00:00:00,48410558,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-16T00:00:00,55220364,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-17T00:00:00,56281827,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-18T00:00:00,57737767,Daily,USCOVIDVT,2021-04-20T19:08:00
United States,Coronavirus Vaccination Total,2021-02-19T00:00:00,59585043,Daily,USCOVIDVT,2021-04-20T19:08:00
