Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Corporate Profits,1950-03-31T00:00:00,16.616,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-06-30T00:00:00,17.781,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-09-30T00:00:00,18.717,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-12-31T00:00:00,20.208,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-03-31T00:00:00,14.668,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-06-30T00:00:00,18.564,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-09-30T00:00:00,21.229,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-12-31T00:00:00,21.114,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-03-31T00:00:00,20.498,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-06-30T00:00:00,19.757,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-09-30T00:00:00,19.764,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-12-31T00:00:00,22.212,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-03-31T00:00:00,22.056,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-06-30T00:00:00,21.133,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-09-30T00:00:00,20.434,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-12-31T00:00:00,17.777,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-03-31T00:00:00,20.412,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-06-30T00:00:00,21.235,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-09-30T00:00:00,22.235,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-12-31T00:00:00,24.565,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-03-31T00:00:00,27.672,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-06-30T00:00:00,28.727,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-09-30T00:00:00,28.289,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-12-31T00:00:00,28.826,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-03-31T00:00:00,27.736,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-06-30T00:00:00,27.546,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-09-30T00:00:00,28.581,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-12-31T00:00:00,28.358,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-03-31T00:00:00,29.315,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-06-30T00:00:00,28.933,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-09-30T00:00:00,28.476,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-12-31T00:00:00,26.315,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-03-31T00:00:00,23.138,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-06-30T00:00:00,23.932,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-09-30T00:00:00,25.851,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-12-31T00:00:00,28.745,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1959-03-31T00:00:00,31.469,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1959-06-30T00:00:00,34.115,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1959-09-30T00:00:00,32.082,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1959-12-31T00:00:00,33.127,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
