Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Crude Oil Production,1950-01-31T00:00:00,4933,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1950-02-28T00:00:00,4969,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-03-31T00:00:00,4881,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-04-30T00:00:00,4972,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1950-05-31T00:00:00,5147,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-06-30T00:00:00,5377,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-07-31T00:00:00,5486,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1950-08-31T00:00:00,5684,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-09-30T00:00:00,5890,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-10-31T00:00:00,5904,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1950-11-30T00:00:00,5893,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1950-12-31T00:00:00,5725,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-01-31T00:00:00,5917,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-02-28T00:00:00,5934,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-03-31T00:00:00,6057,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-04-30T00:00:00,6129,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1951-05-31T00:00:00,6181,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-06-30T00:00:00,6135,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-07-31T00:00:00,6149,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1951-08-31T00:00:00,6243,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-09-30T00:00:00,6267,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1951-10-31T00:00:00,6392,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-11-30T00:00:00,6283,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1951-12-31T00:00:00,6193,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1952-01-31T00:00:00,6221,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-02-29T00:00:00,6373,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-03-31T00:00:00,6359,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1952-04-30T00:00:00,6431,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-05-31T00:00:00,5089,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-06-30T00:00:00,6190,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1952-07-31T00:00:00,6096,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-08-31T00:00:00,6218,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-09-30T00:00:00,6520,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-10-31T00:00:00,6503,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1952-11-30T00:00:00,6461,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1952-12-31T00:00:00,6642,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1953-01-31T00:00:00,6555,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
United States,Crude Oil Production,1953-02-28T00:00:00,6542,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1953-03-31T00:00:00,6517,Monthly,UNITEDSTACRUOILPRO,2015-04-25T14:50:00
United States,Crude Oil Production,1953-04-30T00:00:00,6398,Monthly,UNITEDSTACRUOILPRO,2014-07-28T17:18:00
