Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Current Account,1960-03-31T00:00:00,350,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-06-30T00:00:00,530,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-09-30T00:00:00,836,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-12-31T00:00:00,1108,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-03-31T00:00:00,1239,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-06-30T00:00:00,906,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-09-30T00:00:00,844,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-12-31T00:00:00,833,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-03-31T00:00:00,646,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-06-30T00:00:00,1045,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-09-30T00:00:00,961,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-12-31T00:00:00,732,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-03-31T00:00:00,843,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-06-30T00:00:00,1199,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-09-30T00:00:00,1021,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-12-31T00:00:00,1350,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-03-31T00:00:00,1910,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-06-30T00:00:00,1527,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-09-30T00:00:00,1725,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-12-31T00:00:00,1662,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-03-31T00:00:00,1257,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-06-30T00:00:00,1577,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-09-30T00:00:00,1305,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-12-31T00:00:00,1289,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-03-31T00:00:00,982,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-06-30T00:00:00,789,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-09-30T00:00:00,485,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-12-31T00:00:00,776,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-03-31T00:00:00,876,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-06-30T00:00:00,667,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-09-30T00:00:00,563,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-12-31T00:00:00,474,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-03-31T00:00:00,196,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-06-30T00:00:00,329,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-09-30T00:00:00,139,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-12-31T00:00:00,-51,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-03-31T00:00:00,122,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-06-30T00:00:00,-131,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-09-30T00:00:00,48,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-12-31T00:00:00,357,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-03-31T00:00:00,620,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-06-30T00:00:00,972,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-09-30T00:00:00,515,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-12-31T00:00:00,222,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-03-31T00:00:00,683,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-06-30T00:00:00,-409,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-09-30T00:00:00,-536,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-12-31T00:00:00,-1173,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-03-31T00:00:00,-1693,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-06-30T00:00:00,-1689,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-09-30T00:00:00,-1285,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-12-31T00:00:00,-1130,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-03-31T00:00:00,145,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-06-30T00:00:00,873,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-09-30T00:00:00,2737,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-12-31T00:00:00,3383,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-03-31T00:00:00,1612,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-06-30T00:00:00,110,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-09-30T00:00:00,-295,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-12-31T00:00:00,531,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-03-31T00:00:00,4207,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-06-30T00:00:00,5014,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-09-30T00:00:00,4080,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-12-31T00:00:00,4813,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-03-31T00:00:00,2566,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-06-30T00:00:00,1648,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-09-30T00:00:00,-84,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-12-31T00:00:00,163,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-03-31T00:00:00,-2687,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-06-30T00:00:00,-3031,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-09-30T00:00:00,-2757,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-12-31T00:00:00,-5862,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-03-31T00:00:00,-7020,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-06-30T00:00:00,-3777,Quarterly,USCABAL,2014-06-18T13:51:00
