Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Ease of Doing Business,2008-12-31T00:00:00,4,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2009-12-31T00:00:00,4,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2010-12-31T00:00:00,4,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2011-12-31T00:00:00,4,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2012-12-31T00:00:00,4,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2013-12-31T00:00:00,7,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2014-12-31T00:00:00,7,Yearly,USAICBUSEASEXQ,2015-06-18T22:35:00
United States,Ease of Doing Business,2015-12-31T00:00:00,7,Yearly,USAICBUSEASEXQ,2015-10-28T14:00:00
United States,Ease of Doing Business,2016-12-31T00:00:00,8,Yearly,USAICBUSEASEXQ,2016-11-02T09:46:00
United States,Ease of Doing Business,2017-12-31T00:00:00,6,Yearly,USAICBUSEASEXQ,2017-10-31T17:52:00
United States,Ease of Doing Business,2018-12-31T00:00:00,8,Yearly,USAICBUSEASEXQ,2018-11-05T12:15:00
United States,Ease of Doing Business,2019-12-31T00:00:00,6,Yearly,USAICBUSEASEXQ,2019-11-11T17:35:00
