Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Foreign Exchange Reserves,1957-01-31T00:00:00,23704,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-02-28T00:00:00,23856,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-03-29T00:00:00,23994,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-04-30T00:00:00,24197,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-05-31T00:00:00,24262,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-06-30T00:00:00,24381,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-07-31T00:00:00,24493,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-08-30T00:00:00,24542,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-09-30T00:00:00,24657,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-10-31T00:00:00,24774,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-11-29T00:00:00,24801,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1957-12-31T00:00:00,24832,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-01-31T00:00:00,24841,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-02-28T00:00:00,24730,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-03-31T00:00:00,24529,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-04-30T00:00:00,24096,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-05-30T00:00:00,23703,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-06-30T00:00:00,23496,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-07-31T00:00:00,23361,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-08-29T00:00:00,23182,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-09-30T00:00:00,22960,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
United States,Foreign Exchange Reserves,1958-10-31T00:00:00,22774,Monthly,UNITEDSTAFOREXCRES,2015-04-25T17:00:00
