Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP Constant Prices,1950-03-31T00:00:00,2184.872,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1950-06-30T00:00:00,2251.507,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1950-09-30T00:00:00,2338.514,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1950-12-31T00:00:00,2383.291,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1951-03-31T00:00:00,2415.66,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1951-06-30T00:00:00,2457.517,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1951-09-30T00:00:00,2508.166,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1951-12-31T00:00:00,2513.69,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1952-03-31T00:00:00,2540.55,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1952-06-30T00:00:00,2546.022,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1952-09-30T00:00:00,2564.401,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1952-12-31T00:00:00,2648.621,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1953-03-31T00:00:00,2697.855,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1953-06-30T00:00:00,2718.709,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1953-09-30T00:00:00,2703.411,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1953-12-31T00:00:00,2662.482,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1954-03-31T00:00:00,2649.755,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1954-06-30T00:00:00,2652.643,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1954-09-30T00:00:00,2682.601,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1954-12-31T00:00:00,2735.091,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1955-03-31T00:00:00,2813.212,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1955-06-30T00:00:00,2858.988,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1955-09-30T00:00:00,2897.598,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1955-12-31T00:00:00,2914.993,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1956-03-31T00:00:00,2903.671,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1956-06-30T00:00:00,2927.665,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1956-09-30T00:00:00,2925.035,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1956-12-31T00:00:00,2973.179,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1957-03-31T00:00:00,2992.219,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1957-06-30T00:00:00,2985.663,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1957-09-30T00:00:00,3014.919,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1957-12-31T00:00:00,2983.727,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1958-03-31T00:00:00,2906.274,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1958-06-30T00:00:00,2925.379,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1958-09-30T00:00:00,2993.068,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1958-12-31T00:00:00,3063.085,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1959-03-31T00:00:00,3121.936,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
United States,GDP Constant Prices,1959-06-30T00:00:00,3192.38,Quarterly,UNITEDSTAGDPCONPRI,2018-07-27T12:49:00
