Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP Deflator,1950-03-31T00:00:00,12.853,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1950-06-30T00:00:00,12.897,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1950-09-30T00:00:00,13.177,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1950-12-31T00:00:00,13.425,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1951-03-31T00:00:00,13.909,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1951-06-30T00:00:00,14.002,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1951-09-30T00:00:00,14.01,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1951-12-31T00:00:00,14.17,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1952-03-31T00:00:00,14.163,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1952-06-30T00:00:00,14.18,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1952-09-30T00:00:00,14.339,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1952-12-31T00:00:00,14.378,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1953-03-31T00:00:00,14.381,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1953-06-30T00:00:00,14.409,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1953-09-30T00:00:00,14.47,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1953-12-31T00:00:00,14.497,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1954-03-31T00:00:00,14.543,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1954-06-30T00:00:00,14.556,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1954-09-30T00:00:00,14.575,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1954-12-31T00:00:00,14.615,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1955-03-31T00:00:00,14.683,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1955-06-30T00:00:00,14.744,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1955-09-30T00:00:00,14.847,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1955-12-31T00:00:00,14.995,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1956-03-31T00:00:00,15.144,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1956-06-30T00:00:00,15.234,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1956-09-30T00:00:00,15.425,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1956-12-31T00:00:00,15.487,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1957-03-31T00:00:00,15.7,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1957-06-30T00:00:00,15.81,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1957-09-30T00:00:00,15.904,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1957-12-31T00:00:00,15.915,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1958-03-31T00:00:00,16.087,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1958-06-30T00:00:00,16.134,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1958-09-30T00:00:00,16.232,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1958-12-31T00:00:00,16.309,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1959-03-31T00:00:00,16.347,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1959-06-30T00:00:00,16.372,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1959-09-30T00:00:00,16.435,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1959-12-31T00:00:00,16.499,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1960-03-31T00:00:00,16.566,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1960-06-30T00:00:00,16.607,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1960-09-30T00:00:00,16.665,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1960-12-31T00:00:00,16.714,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1961-03-31T00:00:00,16.75,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
United States,GDP Deflator,1961-06-30T00:00:00,16.789,Quarterly,UNITEDSTAGDPDEF,2018-07-27T13:03:00
