Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Construction,2005-03-31T00:00:00,794.5,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2005-06-30T00:00:00,787.2,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2005-09-30T00:00:00,781.8,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2005-12-31T00:00:00,775.6,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2006-03-31T00:00:00,791.5,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2006-06-30T00:00:00,776.7,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2006-09-30T00:00:00,763,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2006-12-31T00:00:00,742.4,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2007-03-31T00:00:00,746.7,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2007-06-30T00:00:00,757.1,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2007-09-30T00:00:00,749,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2007-12-31T00:00:00,725.9,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2008-03-31T00:00:00,690.4,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2008-06-30T00:00:00,682.9,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2008-09-30T00:00:00,675.2,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2008-12-31T00:00:00,640,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2009-03-31T00:00:00,587.4,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2009-06-30T00:00:00,576.9,Quarterly,UNITEDSTAGDPFROCON,2018-01-15T09:47:00
United States,GDP From Construction,2009-09-30T00:00:00,583.6,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2009-12-31T00:00:00,560.9,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2010-03-31T00:00:00,544.7,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2010-06-30T00:00:00,553.9,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2010-09-30T00:00:00,548,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2010-12-31T00:00:00,543.3,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2011-03-31T00:00:00,531.7,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2011-06-30T00:00:00,540.1,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2011-09-30T00:00:00,541,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2011-12-31T00:00:00,541.8,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2012-03-31T00:00:00,554.2,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2012-06-30T00:00:00,551.1,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2012-09-30T00:00:00,548.5,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2012-12-31T00:00:00,559.9,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2013-03-31T00:00:00,564.7,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2013-06-30T00:00:00,564.4,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2013-09-30T00:00:00,571.8,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2013-12-31T00:00:00,567.8,Quarterly,UNITEDSTAGDPFROCON,2018-11-14T19:07:00
United States,GDP From Construction,2014-03-31T00:00:00,569,Quarterly,UNITEDSTAGDPFROCON,2020-02-10T10:47:00
United States,GDP From Construction,2014-06-30T00:00:00,577.8,Quarterly,UNITEDSTAGDPFROCON,2020-02-10T10:47:00
United States,GDP From Construction,2014-09-30T00:00:00,577.5,Quarterly,UNITEDSTAGDPFROCON,2020-02-10T10:47:00
United States,GDP From Construction,2014-12-31T00:00:00,586.7,Quarterly,UNITEDSTAGDPFROCON,2020-02-10T10:47:00
