Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Manufacturing,2005-03-31T00:00:00,1867.8,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2005-06-30T00:00:00,1870.3,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2005-09-30T00:00:00,1887,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2005-12-31T00:00:00,1926.6,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2006-03-31T00:00:00,1989.4,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2006-06-30T00:00:00,1986.1,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2006-09-30T00:00:00,1984.8,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2006-12-31T00:00:00,2019.9,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2007-03-31T00:00:00,2002.7,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2007-06-30T00:00:00,2040.6,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2007-09-30T00:00:00,2079.1,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2007-12-31T00:00:00,2121.4,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2008-03-31T00:00:00,2046.4,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2008-06-30T00:00:00,2089.9,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2008-09-30T00:00:00,2035.2,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2008-12-31T00:00:00,1904.9,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2009-03-31T00:00:00,1798.6,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2009-06-30T00:00:00,1805.7,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2009-09-30T00:00:00,1830.1,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2009-12-31T00:00:00,1899.3,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2010-03-31T00:00:00,1915.2,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2010-06-30T00:00:00,1924.3,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2010-09-30T00:00:00,1942.1,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2010-12-31T00:00:00,1948.9,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2011-03-31T00:00:00,1935.3,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2011-06-30T00:00:00,1949.1,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2011-09-30T00:00:00,1925.8,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP From Manufacturing,2011-12-31T00:00:00,1949,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
