Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Mining,2005-03-31T00:00:00,264.1,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2005-06-30T00:00:00,263.4,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2005-09-30T00:00:00,247,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2005-12-31T00:00:00,241.8,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2006-03-31T00:00:00,282.8,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2006-06-30T00:00:00,285.6,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2006-09-30T00:00:00,292.8,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2006-12-31T00:00:00,311,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2007-03-31T00:00:00,316.3,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2007-06-30T00:00:00,324.7,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2007-09-30T00:00:00,318.4,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2007-12-31T00:00:00,303.2,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2008-03-31T00:00:00,285.5,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2008-06-30T00:00:00,275.2,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2008-09-30T00:00:00,290.5,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2008-12-31T00:00:00,370.9,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2009-03-31T00:00:00,387.6,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2009-06-30T00:00:00,354.3,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2009-09-30T00:00:00,339.2,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2009-12-31T00:00:00,320.4,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2010-03-31T00:00:00,301.6,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2010-06-30T00:00:00,309.7,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2010-09-30T00:00:00,309.5,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2010-12-31T00:00:00,316.2,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2011-03-31T00:00:00,307.6,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2011-06-30T00:00:00,310.8,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2011-09-30T00:00:00,322.3,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2011-12-31T00:00:00,342.4,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2012-03-31T00:00:00,347.6,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2012-06-30T00:00:00,362.7,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2012-09-30T00:00:00,359.3,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2012-12-31T00:00:00,365.7,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2013-03-31T00:00:00,363.9,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2013-06-30T00:00:00,368.1,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2013-09-30T00:00:00,373.1,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2013-12-31T00:00:00,386.7,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP From Mining,2014-03-31T00:00:00,377.6,Quarterly,UNITEDSTAGDPFROMIN,2020-02-10T10:48:00
United States,GDP From Mining,2014-06-30T00:00:00,398.9,Quarterly,UNITEDSTAGDPFROMIN,2020-02-10T10:48:00
United States,GDP From Mining,2014-09-30T00:00:00,423.8,Quarterly,UNITEDSTAGDPFROMIN,2020-02-10T10:48:00
United States,GDP From Mining,2014-12-31T00:00:00,455,Quarterly,UNITEDSTAGDPFROMIN,2020-02-10T10:48:00
United States,GDP From Mining,2015-03-31T00:00:00,479.1,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2015-06-30T00:00:00,430.7,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2015-09-30T00:00:00,446.6,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2015-12-31T00:00:00,451,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2016-03-31T00:00:00,480.6,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2016-06-30T00:00:00,418.4,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2016-09-30T00:00:00,406.3,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2016-12-31T00:00:00,403.2,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2017-03-31T00:00:00,407.3,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2017-06-30T00:00:00,428.7,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2017-09-30T00:00:00,444,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2017-12-31T00:00:00,443.9,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2018-03-31T00:00:00,436.2,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2018-06-30T00:00:00,452,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2018-09-30T00:00:00,452.5,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2018-12-31T00:00:00,468.3,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2019-03-31T00:00:00,497.6,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2019-06-30T00:00:00,503.8,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2019-09-30T00:00:00,513.3,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2019-12-31T00:00:00,502.5,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2020-03-31T00:00:00,499.7,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2020-06-30T00:00:00,438.5,Quarterly,UNITEDSTAGDPFROMIN,2020-10-01T10:43:00
United States,GDP From Mining,2020-09-30T00:00:00,421.8,Quarterly,UNITEDSTAGDPFROMIN,2020-12-26T10:15:00
United States,GDP From Mining,2020-12-31T00:00:00,428.5,Quarterly,UNITEDSTAGDPFROMIN,2021-03-27T10:15:00
United States,GDP From Mining,2021-03-31T00:00:00,433.6,Quarterly,UNITEDSTAGDPFROMIN,2021-06-26T10:20:00
