Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Public Administration,2005-03-31T00:00:00,2089.5,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2005-06-30T00:00:00,2091.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2005-09-30T00:00:00,2096.6,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2005-12-31T00:00:00,2104.5,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2006-03-31T00:00:00,2099.8,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2006-06-30T00:00:00,2103.8,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2006-09-30T00:00:00,2111.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2006-12-31T00:00:00,2114.1,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2007-03-31T00:00:00,2118.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2007-06-30T00:00:00,2122.8,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2007-09-30T00:00:00,2128.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2007-12-31T00:00:00,2141.5,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2008-03-31T00:00:00,2157.1,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2008-06-30T00:00:00,2170.6,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2008-09-30T00:00:00,2181.1,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2008-12-31T00:00:00,2167.8,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2009-03-31T00:00:00,2162.6,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2009-06-30T00:00:00,2171,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2009-09-30T00:00:00,2173.4,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2009-12-31T00:00:00,2179.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2010-03-31T00:00:00,2186.6,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2010-06-30T00:00:00,2188,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2010-09-30T00:00:00,2179.3,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2010-12-31T00:00:00,2175.9,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2011-03-31T00:00:00,2181.3,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2011-06-30T00:00:00,2181.5,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2011-09-30T00:00:00,2169.9,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2011-12-31T00:00:00,2169.8,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2012-03-31T00:00:00,2167.9,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2012-06-30T00:00:00,2157.5,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2012-09-30T00:00:00,2156.7,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2012-12-31T00:00:00,2155.9,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2013-03-31T00:00:00,2154.7,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2013-06-30T00:00:00,2150.2,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2013-09-30T00:00:00,2141.6,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2013-12-31T00:00:00,2130.7,Quarterly,UNITEDSTAGFPA,2018-11-14T19:10:00
United States,GDP From Public Administration,2014-03-31T00:00:00,2136.1,Quarterly,UNITEDSTAGFPA,2020-02-10T10:44:00
United States,GDP From Public Administration,2014-06-30T00:00:00,2142.6,Quarterly,UNITEDSTAGFPA,2020-02-10T10:44:00
United States,GDP From Public Administration,2014-09-30T00:00:00,2139.3,Quarterly,UNITEDSTAGFPA,2020-02-10T10:44:00
United States,GDP From Public Administration,2014-12-31T00:00:00,2139.6,Quarterly,UNITEDSTAGFPA,2020-02-10T10:44:00
United States,GDP From Public Administration,2015-03-31T00:00:00,2133.5,Quarterly,UNITEDSTAGFPA,2020-10-01T10:43:00
United States,GDP From Public Administration,2015-06-30T00:00:00,2141.9,Quarterly,UNITEDSTAGFPA,2020-10-01T10:43:00
United States,GDP From Public Administration,2015-09-30T00:00:00,2145,Quarterly,UNITEDSTAGFPA,2020-10-01T10:43:00
United States,GDP From Public Administration,2015-12-31T00:00:00,2147.9,Quarterly,UNITEDSTAGFPA,2020-10-01T10:43:00
