Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Services,2005-03-31T00:00:00,9734.7,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2005-06-30T00:00:00,9826.8,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2005-09-30T00:00:00,9953.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2005-12-31T00:00:00,10001.5,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2006-03-31T00:00:00,10101.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2006-06-30T00:00:00,10143.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2006-09-30T00:00:00,10169.9,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2006-12-31T00:00:00,10245.4,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2007-03-31T00:00:00,10270.8,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2007-06-30T00:00:00,10299.9,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2007-09-30T00:00:00,10354.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2007-12-31T00:00:00,10437.7,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2008-03-31T00:00:00,10447.7,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2008-06-30T00:00:00,10487.1,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2008-09-30T00:00:00,10430.4,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2008-12-31T00:00:00,10156.4,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2009-03-31T00:00:00,10138.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2009-06-30T00:00:00,10139.5,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2009-09-30T00:00:00,10155.6,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2009-12-31T00:00:00,10272.7,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2010-03-31T00:00:00,10328.1,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2010-06-30T00:00:00,10445.4,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2010-09-30T00:00:00,10547.4,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
United States,GDP From Services,2010-12-31T00:00:00,10634.7,Quarterly,UNITEDSTAGDPFROSER,2018-11-14T19:12:00
