Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Transport,2005-03-31T00:00:00,429.6,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2005-06-30T00:00:00,437.1,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2005-09-30T00:00:00,461.3,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2005-12-31T00:00:00,467.7,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2006-03-31T00:00:00,468.2,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2006-06-30T00:00:00,479.5,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2006-09-30T00:00:00,478.4,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2006-12-31T00:00:00,475.4,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2007-03-31T00:00:00,463.1,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2007-06-30T00:00:00,477.3,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2007-09-30T00:00:00,467,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2007-12-31T00:00:00,479.3,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2008-03-31T00:00:00,472.7,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2008-06-30T00:00:00,473.6,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2008-09-30T00:00:00,467.5,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP From Transport,2008-12-31T00:00:00,456.1,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
