Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP From Utilities,2005-03-31T00:00:00,218.2,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2005-06-30T00:00:00,217.2,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2005-09-30T00:00:00,220.5,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2005-12-31T00:00:00,220.8,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2006-03-31T00:00:00,220.3,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2006-06-30T00:00:00,237.5,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2006-09-30T00:00:00,239.7,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2006-12-31T00:00:00,233.9,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2007-03-31T00:00:00,231.3,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2007-06-30T00:00:00,239.5,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2007-09-30T00:00:00,237.5,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2007-12-31T00:00:00,241.8,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2008-03-31T00:00:00,244.3,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2008-06-30T00:00:00,263.3,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2008-09-30T00:00:00,263.5,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2008-12-31T00:00:00,229.8,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2009-03-31T00:00:00,226.2,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2009-06-30T00:00:00,231.4,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
United States,GDP From Utilities,2009-09-30T00:00:00,238.9,Quarterly,UNITEDSTAGDPFROUTI,2018-11-14T19:14:00
