Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP per capita,1960-12-31T00:00:00,17578.14,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1961-12-31T00:00:00,17686.79,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1962-12-31T00:00:00,18479.28,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1963-12-31T00:00:00,19016.71,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1964-12-31T00:00:00,19842.14,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1965-12-31T00:00:00,20849.74,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1966-12-31T00:00:00,21950,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1967-12-31T00:00:00,22255.1,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1968-12-31T00:00:00,23091.63,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1969-12-31T00:00:00,23575.94,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1970-12-31T00:00:00,23207.22,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1971-12-31T00:00:00,23670.35,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1972-12-31T00:00:00,24649.84,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1973-12-31T00:00:00,25794.13,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1974-12-31T00:00:00,25421.37,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1975-12-31T00:00:00,25120.23,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
United States,GDP per capita,1976-12-31T00:00:00,26223.38,Yearly,USANYGDPPCAPKD,2021-07-07T09:04:00
