Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP per capita PPP,1990-12-31T00:00:00,40411.16,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1991-12-31T00:00:00,39831.59,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1992-12-31T00:00:00,40666.7,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1993-12-31T00:00:00,41238.78,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1994-12-31T00:00:00,42377.36,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1995-12-31T00:00:00,42999.79,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1996-12-31T00:00:00,44105.83,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1997-12-31T00:00:00,45516,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1998-12-31T00:00:00,47004.61,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,1999-12-31T00:00:00,48676.66,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2000-12-31T00:00:00,50124.89,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2001-12-31T00:00:00,50126.72,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2002-12-31T00:00:00,50528.79,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2003-12-31T00:00:00,51529.73,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2004-12-31T00:00:00,52994.55,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2005-12-31T00:00:00,54353.07,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2006-12-31T00:00:00,55368.36,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2007-12-31T00:00:00,55873.24,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2008-12-31T00:00:00,55271.66,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2009-12-31T00:00:00,53399.37,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2010-12-31T00:00:00,54315.91,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2011-12-31T00:00:00,54758.83,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2012-12-31T00:00:00,55581.41,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2013-12-31T00:00:00,56214.43,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2014-12-31T00:00:00,57213.27,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2015-12-31T00:00:00,58540.3,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2016-12-31T00:00:00,59112.24,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2017-12-31T00:00:00,60109.66,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2018-12-31T00:00:00,61585.76,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2019-12-31T00:00:00,62630.87,Yearly,USANYGDPPCAPPPCD,2021-07-07T09:14:00
United States,GDP per capita PPP,2020-12-31T00:00:00,60235.73,Yearly,USANYGDPPCAPPPCD,2021-07-02T11:03:00
