Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Goods Trade Balance,1955-01-31T00:00:00,287.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-02-28T00:00:00,308.3,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-03-31T00:00:00,251.4,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-04-30T00:00:00,229.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-05-31T00:00:00,192.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-06-30T00:00:00,241,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-07-31T00:00:00,283.2,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-08-31T00:00:00,257.3,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-09-30T00:00:00,220.2,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-10-31T00:00:00,222.6,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-11-30T00:00:00,158.7,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-12-31T00:00:00,234.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-01-31T00:00:00,249.5,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-02-29T00:00:00,241.1,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-03-31T00:00:00,302.1,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-04-30T00:00:00,385.5,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-05-31T00:00:00,374.6,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-06-30T00:00:00,369.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-07-31T00:00:00,348.4,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-08-31T00:00:00,378.6,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-09-30T00:00:00,464.9,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-10-31T00:00:00,446.2,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-11-30T00:00:00,373.3,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1956-12-31T00:00:00,783,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1957-01-31T00:00:00,600.1,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
