Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Spending,1950-03-31T00:00:00,599.626,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1950-06-30T00:00:00,610.577,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1950-09-30T00:00:00,600.72,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1950-12-31T00:00:00,643.161,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1951-03-31T00:00:00,711.604,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1951-06-30T00:00:00,806.453,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1951-09-30T00:00:00,895.1,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1951-12-31T00:00:00,942.439,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1952-03-31T00:00:00,970.486,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1952-06-30T00:00:00,1003.558,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1952-09-30T00:00:00,1013.71,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1952-12-31T00:00:00,1030.617,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1953-03-31T00:00:00,1063.267,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1953-06-30T00:00:00,1085.069,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1953-09-30T00:00:00,1073.55,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1953-12-31T00:00:00,1070.876,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1954-03-31T00:00:00,1043.038,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1954-06-30T00:00:00,1007.718,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1954-09-30T00:00:00,985.925,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1954-12-31T00:00:00,979.99,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1955-03-31T00:00:00,980.565,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1955-06-30T00:00:00,970.944,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1955-09-30T00:00:00,977.156,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1955-12-31T00:00:00,957.768,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1956-03-31T00:00:00,957.52,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1956-06-30T00:00:00,976.854,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1956-09-30T00:00:00,968.27,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1956-12-31T00:00:00,992.905,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1957-03-31T00:00:00,1014.192,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1957-06-30T00:00:00,1008.948,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1957-09-30T00:00:00,1017.538,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1957-12-31T00:00:00,1034.278,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1958-03-31T00:00:00,1025.345,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1958-06-30T00:00:00,1050.923,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1958-09-30T00:00:00,1056.956,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1958-12-31T00:00:00,1078.266,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1959-03-31T00:00:00,1067.299,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1959-06-30T00:00:00,1080.519,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1959-09-30T00:00:00,1089.758,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1959-12-31T00:00:00,1080.847,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1960-03-31T00:00:00,1062.413,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1960-06-30T00:00:00,1074.342,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1960-09-30T00:00:00,1100.615,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1960-12-31T00:00:00,1108.247,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1961-03-31T00:00:00,1124.703,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1961-06-30T00:00:00,1127.518,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1961-09-30T00:00:00,1151.6,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1961-12-31T00:00:00,1176.849,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1962-03-31T00:00:00,1199.559,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1962-06-30T00:00:00,1205.618,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1962-09-30T00:00:00,1233.449,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1962-12-31T00:00:00,1241.969,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1963-03-31T00:00:00,1225.121,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1963-06-30T00:00:00,1226.02,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1963-09-30T00:00:00,1280.417,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1963-12-31T00:00:00,1267.165,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
United States,Government Spending,1964-03-31T00:00:00,1271.118,Quarterly,UNITEDSTAGOVSPE,2018-07-27T12:50:00
