Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Spending To GDP,1970-12-31T00:00:00,34.2,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1971-12-31T00:00:00,34.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1972-12-31T00:00:00,34.4,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1973-12-31T00:00:00,33.4,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1974-12-31T00:00:00,34.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1975-12-31T00:00:00,36.9,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1976-12-31T00:00:00,35.5,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1977-12-31T00:00:00,34.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1978-12-31T00:00:00,33.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1979-12-31T00:00:00,33.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1980-12-31T00:00:00,35.4,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1981-12-31T00:00:00,35.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1982-12-31T00:00:00,37.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1983-12-31T00:00:00,37.9,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1984-12-31T00:00:00,36.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1985-12-31T00:00:00,37.3,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1986-12-31T00:00:00,37.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1987-12-31T00:00:00,37.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1988-12-31T00:00:00,36.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1989-12-31T00:00:00,36.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1990-12-31T00:00:00,37.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1991-12-31T00:00:00,38.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1992-12-31T00:00:00,39.4,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1993-12-31T00:00:00,38.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1994-12-31T00:00:00,37.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1995-12-31T00:00:00,37.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1996-12-31T00:00:00,37.1,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1997-12-31T00:00:00,36,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1998-12-31T00:00:00,35.1,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,1999-12-31T00:00:00,34.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2000-12-31T00:00:00,34.3,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2001-12-31T00:00:00,35.6,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2002-12-31T00:00:00,36.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2003-12-31T00:00:00,37.3,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2004-12-31T00:00:00,36.9,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2005-12-31T00:00:00,37,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2006-12-31T00:00:00,36.7,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2007-12-31T00:00:00,37.4,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2008-12-31T00:00:00,39.8,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2009-12-31T00:00:00,43.3,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2010-12-31T00:00:00,43.2,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2011-12-31T00:00:00,42,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2012-12-31T00:00:00,40.2,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2013-12-31T00:00:00,39,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2014-12-31T00:00:00,38.3,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2015-12-31T00:00:00,37.9,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2016-12-31T00:00:00,38.3,Yearly,UNITEDSTAGSTG,2020-02-10T16:40:00
United States,Government Spending To GDP,2017-12-31T00:00:00,38,Yearly,UNITEDSTAGSTG,2019-02-27T15:18:00
United States,Government Spending To GDP,2018-12-31T00:00:00,37.8,Yearly,UNITEDSTAGSTG,2020-02-10T16:41:00
United States,Government Spending To GDP,2019-12-31T00:00:00,35.68,Yearly,UNITEDSTAGSTG,2021-02-04T14:28:00
United States,Government Spending To GDP,2020-12-31T00:00:00,44,Yearly,UNITEDSTAGSTG,2021-02-04T14:26:00
