Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Grain Stocks Corn,2015-03-31T00:00:00,7.75,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2015-06-30T00:00:00,4.453,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2015-09-30T00:00:00,1.731,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2015-12-31T00:00:00,11.238,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2016-03-31T00:00:00,7.817,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2016-06-30T00:00:00,4.713,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2016-09-30T00:00:00,1.738,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2016-12-31T00:00:00,12.384,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2017-03-31T00:00:00,8.621,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2017-06-30T00:00:00,5.225,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2017-09-30T00:00:00,2.295,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2017-12-31T00:00:00,12.516,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2018-03-31T00:00:00,8.888,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2018-06-30T00:00:00,5.306,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2018-09-30T00:00:00,2.14,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2018-12-31T00:00:00,11.952,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2019-03-31T00:00:00,8.605,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2019-06-30T00:00:00,5.202,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2019-09-30T00:00:00,2.114,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2019-12-31T00:00:00,11.389,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2020-03-31T00:00:00,7.953,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2020-06-30T00:00:00,5.224,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2020-09-30T00:00:00,1.995,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2020-12-31T00:00:00,11.322,Quarterly,UNITEDSTAQGS-C,2021-04-12T16:30:00
United States,Grain Stocks Corn,2021-03-31T00:00:00,7.701,Quarterly,UNITEDSTAQGS-C,2021-06-30T16:00:00
United States,Grain Stocks Corn,2021-06-30T00:00:00,4.112,Quarterly,UNITEDSTAQGS-C,2021-06-30T16:00:00
