Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Gross Fixed Capital Formation,1995-06-30T00:00:00,1215.6,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1995-09-30T00:00:00,1231.6,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1995-12-31T00:00:00,1257.3,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1996-03-31T00:00:00,1289.1,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1996-06-30T00:00:00,1331,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1996-09-30T00:00:00,1361.8,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1996-12-31T00:00:00,1384.5,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1997-03-31T00:00:00,1411.6,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1997-06-30T00:00:00,1442,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1997-09-30T00:00:00,1497.5,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1997-12-31T00:00:00,1510.4,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1998-03-31T00:00:00,1555.8,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1998-06-30T00:00:00,1610.1,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1998-09-30T00:00:00,1640.7,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1998-12-31T00:00:00,1690.9,Quarterly,UNITEDSTAGROFIXCAPFO,2013-07-23T15:11:00
United States,Gross Fixed Capital Formation,1999-03-31T00:00:00,2076.866,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,1999-06-30T00:00:00,2126.293,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,1999-09-30T00:00:00,2175.841,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,1999-12-31T00:00:00,2187.17,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,2000-03-31T00:00:00,2249.784,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,2000-06-30T00:00:00,2299.529,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,2000-09-30T00:00:00,2309.549,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,2000-12-31T00:00:00,2316.544,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
United States,Gross Fixed Capital Formation,2001-03-31T00:00:00,2303.027,Quarterly,UNITEDSTAGROFIXCAPFO,2018-07-27T12:51:00
