Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Gross National Product,1950-03-31T00:00:00,2199.226,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1950-06-30T00:00:00,2266.641,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1950-09-30T00:00:00,2356.006,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1950-12-31T00:00:00,2400.8,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1951-03-31T00:00:00,2432.613,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1951-06-30T00:00:00,2476.905,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1951-09-30T00:00:00,2528.301,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1951-12-31T00:00:00,2534.773,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1952-03-31T00:00:00,2560.685,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1952-06-30T00:00:00,2566.259,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1952-09-30T00:00:00,2584.373,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1952-12-31T00:00:00,2668.419,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1953-03-31T00:00:00,2717.467,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1953-06-30T00:00:00,2739.305,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1953-09-30T00:00:00,2722.219,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1953-12-31T00:00:00,2681.277,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1954-03-31T00:00:00,2669.682,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1954-06-30T00:00:00,2672.491,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1954-09-30T00:00:00,2702.702,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1954-12-31T00:00:00,2757.292,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1955-03-31T00:00:00,2835.923,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1955-06-30T00:00:00,2881.465,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1955-09-30T00:00:00,2920.33,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1955-12-31T00:00:00,2938.163,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1956-03-31T00:00:00,2928.881,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1956-06-30T00:00:00,2952.705,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1956-09-30T00:00:00,2950.552,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1956-12-31T00:00:00,2996.248,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1957-03-31T00:00:00,3018.576,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1957-06-30T00:00:00,3013.634,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1957-09-30T00:00:00,3041.953,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1957-12-31T00:00:00,3006.169,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1958-03-31T00:00:00,2929.045,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1958-06-30T00:00:00,2948.476,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1958-09-30T00:00:00,3015.645,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1958-12-31T00:00:00,3085.566,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1959-03-31T00:00:00,3144.385,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1959-06-30T00:00:00,3214.929,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1959-09-30T00:00:00,3218.557,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1959-12-31T00:00:00,3228.859,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1960-03-31T00:00:00,3300.197,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1960-06-30T00:00:00,3282.953,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1960-09-30T00:00:00,3299.784,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1960-12-31T00:00:00,3258.882,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1961-03-31T00:00:00,3282.018,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1961-06-30T00:00:00,3336.135,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1961-09-30T00:00:00,3400.249,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1961-12-31T00:00:00,3466.998,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1962-03-31T00:00:00,3528.263,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1962-06-30T00:00:00,3562.183,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1962-09-30T00:00:00,3605.884,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1962-12-31T00:00:00,3621.456,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1963-03-31T00:00:00,3659.288,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1963-06-30T00:00:00,3699.001,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1963-09-30T00:00:00,3780.236,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1963-12-31T00:00:00,3805.718,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1964-03-31T00:00:00,3887.879,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1964-06-30T00:00:00,3928.673,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1964-09-30T00:00:00,3990.488,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1964-12-31T00:00:00,4000.567,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1965-03-31T00:00:00,4100.549,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1965-06-30T00:00:00,4152.994,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1965-09-30T00:00:00,4242.267,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1965-12-31T00:00:00,4336.508,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1966-03-31T00:00:00,4442.347,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1966-06-30T00:00:00,4457.473,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1966-09-30T00:00:00,4494.311,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1966-12-31T00:00:00,4532.239,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1967-03-31T00:00:00,4571.739,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1967-06-30T00:00:00,4573.684,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1967-09-30T00:00:00,4619.678,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1967-12-31T00:00:00,4653.35,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1968-03-31T00:00:00,4748.414,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1968-06-30T00:00:00,4827.866,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1968-09-30T00:00:00,4866.004,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1968-12-31T00:00:00,4884.762,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1969-03-31T00:00:00,4960.831,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1969-06-30T00:00:00,4974.574,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1969-09-30T00:00:00,5005.77,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1969-12-31T00:00:00,4981.491,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1970-03-31T00:00:00,4974.96,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1970-06-30T00:00:00,4983.053,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1970-09-30T00:00:00,5028.206,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1970-12-31T00:00:00,4971.917,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
United States,Gross National Product,1971-03-31T00:00:00,5111.649,Quarterly,UNITEDSTAGRONATPRO,2019-03-28T13:17:00
