Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Hospital Beds,1960-12-31T00:00:00,9.18,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1965-12-31T00:00:00,8.77,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1970-12-31T00:00:00,7.88,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1971-12-31T00:00:00,7.49,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1972-12-31T00:00:00,7.38,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1973-12-31T00:00:00,7.24,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1974-12-31T00:00:00,7.07,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1975-12-31T00:00:00,6.79,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1976-12-31T00:00:00,6.58,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1977-12-31T00:00:00,6.39,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1978-12-31T00:00:00,6.2,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1979-12-31T00:00:00,6.1,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1980-12-31T00:00:00,6.01,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1981-12-31T00:00:00,5.94,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1982-12-31T00:00:00,5.87,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1983-12-31T00:00:00,5.77,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1984-12-31T00:00:00,5.68,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1985-12-31T00:00:00,5.54,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1986-12-31T00:00:00,5.37,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1987-12-31T00:00:00,5.23,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1988-12-31T00:00:00,5.1,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1989-12-31T00:00:00,4.97,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1990-12-31T00:00:00,4.86,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1991-12-31T00:00:00,4.75,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1992-12-31T00:00:00,4.59,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1993-12-31T00:00:00,4.48,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1994-12-31T00:00:00,4.29,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1995-12-31T00:00:00,4.06,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1996-12-31T00:00:00,3.94,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1997-12-31T00:00:00,3.8,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1998-12-31T00:00:00,3.67,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,1999-12-31T00:00:00,3.56,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2000-12-31T00:00:00,3.49,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2001-12-31T00:00:00,3.47,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2002-12-31T00:00:00,3.39,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2003-12-31T00:00:00,3.33,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2004-12-31T00:00:00,3.26,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2005-12-31T00:00:00,3.2,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2006-12-31T00:00:00,3.18,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2007-12-31T00:00:00,3.14,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2008-12-31T00:00:00,3.13,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2009-12-31T00:00:00,3.08,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2010-12-31T00:00:00,3.05,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2011-12-31T00:00:00,2.97,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2012-12-31T00:00:00,2.93,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2013-12-31T00:00:00,2.89,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2014-12-31T00:00:00,2.83,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2015-12-31T00:00:00,2.8,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2016-12-31T00:00:00,2.77,Yearly,USBEDS,2020-03-23T10:12:00
United States,Hospital Beds,2017-12-31T00:00:00,2.87,Yearly,USBEDS,2021-08-04T14:59:00
United States,Hospital Beds,2018-12-31T00:00:00,2.83,Yearly,USBEDS,2021-08-04T14:59:00
