Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Hospitals,1980-12-31T00:00:00,30.65,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1981-12-31T00:00:00,30.21,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1982-12-31T00:00:00,29.85,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1983-12-31T00:00:00,29.46,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1984-12-31T00:00:00,29.14,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1985-12-31T00:00:00,28.88,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1986-12-31T00:00:00,28.49,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1987-12-31T00:00:00,28.15,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1988-12-31T00:00:00,27.73,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1989-12-31T00:00:00,27.23,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1990-12-31T00:00:00,26.64,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1991-12-31T00:00:00,26.22,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1992-12-31T00:00:00,25.49,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1993-12-31T00:00:00,24.88,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1994-12-31T00:00:00,24.22,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1995-12-31T00:00:00,23.63,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1996-12-31T00:00:00,23.02,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1997-12-31T00:00:00,22.36,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1998-12-31T00:00:00,21.83,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,1999-12-31T00:00:00,21.11,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2000-12-31T00:00:00,20.59,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2001-12-31T00:00:00,20.36,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2002-12-31T00:00:00,20.14,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2003-12-31T00:00:00,19.87,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2004-12-31T00:00:00,19.67,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2005-12-31T00:00:00,19.48,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2006-12-31T00:00:00,19.26,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2007-12-31T00:00:00,18.95,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2008-12-31T00:00:00,19.12,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2009-12-31T00:00:00,18.89,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2010-12-31T00:00:00,18.6,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2011-12-31T00:00:00,18.37,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2012-12-31T00:00:00,18.24,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2013-12-31T00:00:00,17.99,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2014-12-31T00:00:00,17.68,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2015-12-31T00:00:00,17.35,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2016-12-31T00:00:00,17.14,Yearly,USHOSP,2020-03-23T10:44:00
United States,Hospitals,2017-12-31T00:00:00,19.11,Yearly,USHOSP,2021-08-03T16:11:00
United States,Hospitals,2018-12-31T00:00:00,18.81,Yearly,USHOSP,2021-08-03T16:11:00
