Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Households Debt To GDP,1950-03-31T00:00:00,23.6,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1950-06-30T00:00:00,24.4,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1950-09-30T00:00:00,24.8,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1950-12-31T00:00:00,25,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1951-03-31T00:00:00,24.5,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1951-06-30T00:00:00,24.2,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1951-09-30T00:00:00,24.1,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1951-12-31T00:00:00,24.1,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt To GDP,1952-03-31T00:00:00,23.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1952-06-30T00:00:00,24.7,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1952-09-30T00:00:00,25.2,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1952-12-31T00:00:00,26,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1953-03-31T00:00:00,26.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1953-06-30T00:00:00,26.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1953-09-30T00:00:00,27,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1953-12-31T00:00:00,27.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1954-03-31T00:00:00,27.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1954-06-30T00:00:00,28.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1954-09-30T00:00:00,29.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1954-12-31T00:00:00,30.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1955-03-31T00:00:00,31.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1955-06-30T00:00:00,32.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1955-09-30T00:00:00,32.7,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1955-12-30T00:00:00,33.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1956-03-30T00:00:00,33.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1956-06-29T00:00:00,33.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1956-09-28T00:00:00,34.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1956-12-31T00:00:00,34.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1957-03-29T00:00:00,34.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1957-06-28T00:00:00,35.1,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1957-09-30T00:00:00,35.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1957-12-31T00:00:00,35.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1958-03-31T00:00:00,35.4,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1958-06-30T00:00:00,36.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1958-09-30T00:00:00,36.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1958-12-31T00:00:00,37.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1959-03-31T00:00:00,37.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1959-06-30T00:00:00,37.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1959-09-30T00:00:00,38,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1959-12-31T00:00:00,38.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1960-03-31T00:00:00,38.3,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1960-06-30T00:00:00,39.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1960-09-30T00:00:00,39.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1960-12-30T00:00:00,40.5,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1961-03-31T00:00:00,40.6,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1961-06-30T00:00:00,41.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1961-09-29T00:00:00,41.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1961-12-29T00:00:00,42.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1962-03-30T00:00:00,41.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1962-06-29T00:00:00,42,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1962-09-28T00:00:00,42.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1962-12-31T00:00:00,43,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1963-03-29T00:00:00,43,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1963-06-28T00:00:00,44,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1963-09-30T00:00:00,44.5,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1963-12-31T00:00:00,45.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1964-03-31T00:00:00,45,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1964-06-30T00:00:00,45.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1964-09-30T00:00:00,45.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1964-12-31T00:00:00,46.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1965-03-31T00:00:00,46,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1965-06-30T00:00:00,46.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1965-09-30T00:00:00,46.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1965-12-31T00:00:00,46.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1966-03-31T00:00:00,45.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1966-06-30T00:00:00,45.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1966-09-30T00:00:00,45.4,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1966-12-30T00:00:00,45.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1967-03-31T00:00:00,44.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1967-06-30T00:00:00,44.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt To GDP,1967-09-29T00:00:00,44.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1967-12-29T00:00:00,46.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1968-03-29T00:00:00,44.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1968-06-28T00:00:00,45.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1968-09-30T00:00:00,45,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1968-12-31T00:00:00,45.4,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1969-03-31T00:00:00,44.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1969-06-30T00:00:00,44.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1969-09-30T00:00:00,44.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1969-12-31T00:00:00,44.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1970-03-31T00:00:00,43.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1970-06-30T00:00:00,43.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1970-09-30T00:00:00,43.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1970-12-31T00:00:00,43.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1971-03-31T00:00:00,42.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1971-06-30T00:00:00,43.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1971-09-30T00:00:00,43.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1971-12-31T00:00:00,43.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1972-03-31T00:00:00,43.6,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1972-06-30T00:00:00,44.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1972-09-29T00:00:00,44.4,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1972-12-29T00:00:00,44.7,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1973-03-30T00:00:00,44.3,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt To GDP,1973-06-29T00:00:00,44.5,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
