Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Labour Costs,1950-03-31T00:00:00,17.01,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1950-06-30T00:00:00,17.16,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1950-09-30T00:00:00,17.13,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1950-12-31T00:00:00,17.52,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1951-03-31T00:00:00,17.92,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1951-06-30T00:00:00,18.38,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1951-09-30T00:00:00,18.18,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1951-12-31T00:00:00,18.47,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1952-03-31T00:00:00,18.57,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1952-06-30T00:00:00,18.74,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1952-09-30T00:00:00,19.07,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1952-12-31T00:00:00,19.15,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-03-31T00:00:00,19.2,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-06-30T00:00:00,19.38,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-09-30T00:00:00,19.5,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1953-12-31T00:00:00,19.76,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1954-03-31T00:00:00,19.89,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1954-06-30T00:00:00,19.78,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1954-09-30T00:00:00,19.58,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1954-12-31T00:00:00,19.55,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1955-03-31T00:00:00,19.31,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1955-06-30T00:00:00,19.4,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1955-09-30T00:00:00,19.67,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1955-12-31T00:00:00,19.92,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1956-03-31T00:00:00,20.48,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1956-06-30T00:00:00,20.77,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1956-09-30T00:00:00,21.1,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1956-12-31T00:00:00,21.22,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1957-03-31T00:00:00,21.28,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1957-06-30T00:00:00,21.58,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1957-09-30T00:00:00,21.57,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1957-12-31T00:00:00,21.78,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1958-03-31T00:00:00,22.09,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1958-06-30T00:00:00,21.87,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1958-09-30T00:00:00,21.96,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1958-12-31T00:00:00,21.68,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1959-03-31T00:00:00,21.87,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1959-06-30T00:00:00,21.84,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1959-09-30T00:00:00,21.94,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1959-12-31T00:00:00,22.22,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1960-03-31T00:00:00,22.18,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1960-06-30T00:00:00,22.68,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1960-09-30T00:00:00,22.68,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1960-12-31T00:00:00,23.08,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1961-03-31T00:00:00,22.98,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1961-06-30T00:00:00,22.71,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1961-09-30T00:00:00,22.5,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1961-12-31T00:00:00,22.47,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1962-03-31T00:00:00,22.46,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1962-06-30T00:00:00,22.7,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1962-09-30T00:00:00,22.48,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1962-12-31T00:00:00,22.52,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1963-03-31T00:00:00,22.68,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1963-06-30T00:00:00,22.62,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1963-09-30T00:00:00,22.3,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1963-12-31T00:00:00,22.58,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1964-03-31T00:00:00,22.37,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1964-06-30T00:00:00,22.49,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1964-09-30T00:00:00,22.56,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1964-12-31T00:00:00,22.94,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1965-03-31T00:00:00,22.71,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1965-06-30T00:00:00,22.76,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1965-09-30T00:00:00,22.54,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1965-12-31T00:00:00,22.48,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1966-03-31T00:00:00,22.56,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1966-06-30T00:00:00,23.08,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1966-09-30T00:00:00,23.34,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1966-12-31T00:00:00,23.5,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1967-03-31T00:00:00,23.63,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1967-06-30T00:00:00,23.92,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1967-09-30T00:00:00,24.12,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1967-12-31T00:00:00,24.38,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1968-03-31T00:00:00,24.49,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1968-06-30T00:00:00,24.66,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1968-09-30T00:00:00,25.05,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1968-12-31T00:00:00,25.61,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1969-03-31T00:00:00,25.75,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1969-06-30T00:00:00,26.38,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1969-09-30T00:00:00,26.82,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1969-12-31T00:00:00,27.48,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1970-03-31T00:00:00,27.88,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1970-06-30T00:00:00,27.92,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1970-09-30T00:00:00,27.93,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1970-12-31T00:00:00,28.47,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1971-03-31T00:00:00,28.22,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1971-06-30T00:00:00,28.55,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1971-09-30T00:00:00,28.67,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1971-12-31T00:00:00,29.12,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1972-03-31T00:00:00,29.47,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1972-06-30T00:00:00,29.24,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1972-09-30T00:00:00,29.45,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1972-12-31T00:00:00,29.75,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1973-03-31T00:00:00,29.86,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1973-06-30T00:00:00,30.27,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1973-09-30T00:00:00,31.08,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1973-12-31T00:00:00,31.91,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1974-03-31T00:00:00,32.71,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1974-06-30T00:00:00,33.67,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1974-09-30T00:00:00,35.02,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1974-12-31T00:00:00,35.66,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1975-03-31T00:00:00,36.46,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1975-06-30T00:00:00,36.65,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1975-09-30T00:00:00,36.84,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
United States,Labour Costs,1975-12-31T00:00:00,37.41,Quarterly,UNITEDSTALABCOS,2021-08-10T13:59:00
