Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Leading Economic Index,1979-01-31T00:00:00,45.4749,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-02-28T00:00:00,45.6229,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-03-31T00:00:00,45.8644,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-04-30T00:00:00,45.9372,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-05-31T00:00:00,46.163,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-06-30T00:00:00,46.2932,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-07-31T00:00:00,46.4093,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-08-31T00:00:00,46.4702,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-09-30T00:00:00,46.5648,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-10-31T00:00:00,46.6579,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-11-30T00:00:00,46.7752,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1979-12-31T00:00:00,46.8325,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-01-31T00:00:00,46.8792,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-02-29T00:00:00,46.9753,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-03-31T00:00:00,47.0512,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-04-30T00:00:00,46.9533,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-05-31T00:00:00,46.8092,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-06-30T00:00:00,46.7219,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-07-31T00:00:00,46.6254,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-08-31T00:00:00,46.7184,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-09-30T00:00:00,46.8183,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
United States,Leading Economic Index,1980-10-31T00:00:00,46.9368,Monthly,UNITEDSTALEAECOIND,2021-04-15T15:38:00
