Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Lmi Inventory Costs,2016-09-30T00:00:00,67.6,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2016-10-31T00:00:00,59.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2016-11-30T00:00:00,65.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2016-12-31T00:00:00,65.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-01-31T00:00:00,65.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-02-28T00:00:00,65.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-03-31T00:00:00,68.9,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-04-30T00:00:00,68.9,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-05-31T00:00:00,75.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-06-30T00:00:00,75.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-07-31T00:00:00,70.16,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-08-31T00:00:00,70.16,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-09-30T00:00:00,70.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-10-31T00:00:00,70.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-11-30T00:00:00,70.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2017-12-31T00:00:00,70.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-01-31T00:00:00,69.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-02-28T00:00:00,69.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-03-31T00:00:00,81.34,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-04-30T00:00:00,81.34,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-05-31T00:00:00,76.94,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-06-30T00:00:00,76.94,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-07-31T00:00:00,79.02,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-08-31T00:00:00,79.02,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-09-30T00:00:00,78.78,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-10-31T00:00:00,81.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-11-30T00:00:00,73.53,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2018-12-31T00:00:00,72.73,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-01-31T00:00:00,75.65,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-02-28T00:00:00,74.51,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-03-31T00:00:00,69.9,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-04-30T00:00:00,70.7,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-05-31T00:00:00,72.55,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-06-30T00:00:00,71.2,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-07-31T00:00:00,71.2,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-08-31T00:00:00,70.3,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-09-30T00:00:00,67.5,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-10-31T00:00:00,66.7,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-11-30T00:00:00,65.4,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2019-12-31T00:00:00,63.43,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-01-31T00:00:00,66.13,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-02-29T00:00:00,61.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-03-31T00:00:00,66.49,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-04-30T00:00:00,63.1,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-05-31T00:00:00,66.02,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-06-30T00:00:00,63.46,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-07-31T00:00:00,69.12,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-08-31T00:00:00,64.74,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-09-30T00:00:00,65.84,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-10-31T00:00:00,73.6,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-11-30T00:00:00,73.1,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2020-12-31T00:00:00,71.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2021-01-31T00:00:00,75,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2021-02-28T00:00:00,76.8,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2021-03-31T00:00:00,80,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2021-04-30T00:00:00,84.6,Monthly,UNITEDSTALIC,2021-05-25T13:34:00
United States,Lmi Inventory Costs,2021-05-31T00:00:00,83.8,Monthly,UNITEDSTALIC,2021-06-01T13:37:00
United States,Lmi Inventory Costs,2021-06-30T00:00:00,89.4,Monthly,UNITEDSTALIC,2021-07-06T11:27:00
United States,Lmi Inventory Costs,2021-07-31T00:00:00,88.8,Monthly,UNITEDSTALIC,2021-08-03T11:33:00
