Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Lmi Logistics Managers Index Current,2016-09-30T00:00:00,63.9,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2016-10-31T00:00:00,54.9,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2016-11-30T00:00:00,62.9,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2016-12-31T00:00:00,62.9,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-01-31T00:00:00,66,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-02-28T00:00:00,66,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-03-31T00:00:00,65.6,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-04-30T00:00:00,65.6,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-05-31T00:00:00,65,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-06-30T00:00:00,65,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-07-31T00:00:00,62.78,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-08-31T00:00:00,62.78,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-09-30T00:00:00,66.18,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-10-31T00:00:00,66.18,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-11-30T00:00:00,66.18,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2017-12-31T00:00:00,66.18,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-01-31T00:00:00,64.1,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-02-28T00:00:00,64.1,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-03-31T00:00:00,70.83,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-04-30T00:00:00,70.83,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-05-31T00:00:00,69,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-06-30T00:00:00,69,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-07-31T00:00:00,68.79,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-08-31T00:00:00,68.79,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-09-30T00:00:00,70.22,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-10-31T00:00:00,69.01,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-11-30T00:00:00,66.66,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2018-12-31T00:00:00,64.65,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-01-31T00:00:00,65.2,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-02-28T00:00:00,61.95,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-03-31T00:00:00,60.4,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-04-30T00:00:00,57.9,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-05-31T00:00:00,56.7,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
United States,Lmi Logistics Managers Index Current,2019-06-30T00:00:00,56,Monthly,UNITEDSTALLMIC,2021-05-25T13:52:00
