Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Loans to Private Sector,1950-01-31T00:00:00,13.6493,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-02-28T00:00:00,13.7957,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-03-31T00:00:00,13.9531,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-04-30T00:00:00,14.1119,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-05-31T00:00:00,14.2519,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-06-30T00:00:00,14.388,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-07-31T00:00:00,14.7712,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-08-31T00:00:00,15.2975,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-09-30T00:00:00,15.8075,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-10-31T00:00:00,16.3104,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-11-30T00:00:00,16.8092,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1950-12-31T00:00:00,17.3061,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-01-31T00:00:00,17.7542,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-02-28T00:00:00,18.1862,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-03-31T00:00:00,18.6363,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-04-30T00:00:00,19.1031,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-05-31T00:00:00,19.5512,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
United States,Loans to Private Sector,1951-06-30T00:00:00,20.0031,Monthly,UNITEDSTALOATOPRISEC,2016-02-19T20:45:00
