Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Medical Doctors,1993-12-31T00:00:00,2.27,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1994-12-31T00:00:00,2.3,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1995-12-31T00:00:00,2.35,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1996-12-31T00:00:00,2.39,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1997-12-31T00:00:00,2.44,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1998-12-31T00:00:00,2.42,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,1999-12-31T00:00:00,2.4,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2000-12-31T00:00:00,2.45,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2001-12-31T00:00:00,2.5,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2002-12-31T00:00:00,2.5,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2003-12-31T00:00:00,2.54,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2004-12-31T00:00:00,2.54,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2005-12-31T00:00:00,2.58,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2006-12-31T00:00:00,2.57,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2007-12-31T00:00:00,2.58,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2008-12-31T00:00:00,2.58,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2009-12-31T00:00:00,2.58,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2010-12-31T00:00:00,2.57,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2011-12-31T00:00:00,2.6,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2012-12-31T00:00:00,2.63,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2013-12-31T00:00:00,2.7,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2014-12-31T00:00:00,2.72,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2015-12-31T00:00:00,2.72,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2016-12-31T00:00:00,2.72,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2017-12-31T00:00:00,2.74,Yearly,USPHYS,2020-03-23T10:28:00
United States,Medical Doctors,2018-12-31T00:00:00,2.74,Yearly,USPHYS,2021-08-04T13:10:00
United States,Medical Doctors,2019-12-31T00:00:00,2.77,Yearly,USPHYS,2021-08-04T13:10:00
