Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Military Expenditure,1949-12-31T00:00:00,147593,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1950-12-31T00:00:00,158620,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1951-12-31T00:00:00,339387,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1952-12-31T00:00:00,478080,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1953-12-31T00:00:00,492223,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1954-12-31T00:00:00,424699,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1955-12-31T00:00:00,402015,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1956-12-31T00:00:00,407275,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1957-12-31T00:00:00,418896,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1958-12-31T00:00:00,416411,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1959-12-31T00:00:00,419328,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1960-12-31T00:00:00,409007,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1961-12-31T00:00:00,426307,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1962-12-31T00:00:00,461929,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1963-12-31T00:00:00,455639,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1964-12-31T00:00:00,440448,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1965-12-31T00:00:00,442377,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1966-12-31T00:00:00,523061,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1967-12-31T00:00:00,600511,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1968-12-31T00:00:00,619797,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1969-12-31T00:00:00,592570,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1970-12-31T00:00:00,549164,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1971-12-31T00:00:00,494097,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1972-12-31T00:00:00,493387,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1973-12-31T00:00:00,468878,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1974-12-31T00:00:00,462755,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1975-12-31T00:00:00,437342,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1976-12-31T00:00:00,425445,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1977-12-31T00:00:00,441501,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1978-12-31T00:00:00,444294,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1979-12-31T00:00:00,446844,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1980-12-31T00:00:00,445813,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1981-12-31T00:00:00,496574,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1982-12-31T00:00:00,587280,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1983-12-31T00:00:00,573502,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1984-12-31T00:00:00,603217,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1985-12-31T00:00:00,646659,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1986-12-31T00:00:00,689403,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1987-12-31T00:00:00,683746,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1988-12-31T00:00:00,669443,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1989-12-31T00:00:00,663788,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1990-12-31T00:00:00,636176,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1991-12-31T00:00:00,561979,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1992-12-31T00:00:00,592212,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1993-12-31T00:00:00,560519,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1994-12-31T00:00:00,531381,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1995-12-31T00:00:00,496360,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1996-12-31T00:00:00,469361,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1997-12-31T00:00:00,466933,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1998-12-31T00:00:00,456390,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,1999-12-31T00:00:00,457513,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2000-12-31T00:00:00,475217,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2001-12-31T00:00:00,479077,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2002-12-31T00:00:00,537912,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2003-12-31T00:00:00,612233,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2004-12-31T00:00:00,667285,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2005-12-31T00:00:00,698019,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2006-12-31T00:00:00,708077,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2007-12-31T00:00:00,726972,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2008-12-31T00:00:00,779854,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2009-12-31T00:00:00,841220,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2010-12-31T00:00:00,865268,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2011-12-31T00:00:00,855022,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2012-12-31T00:00:00,807530,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2013-12-31T00:00:00,745416,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2014-12-31T00:00:00,699564,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2015-12-31T00:00:00,683678,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2016-12-31T00:00:00,681580,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2017-12-31T00:00:00,674557,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2018-12-31T00:00:00,694860,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2019-12-31T00:00:00,734344,Yearly,UnitedStMil,2021-05-26T09:53:00
United States,Military Expenditure,2020-12-31T00:00:00,766583,Yearly,UnitedStMil,2021-05-26T09:53:00
