Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Nurses,1999-12-31T00:00:00,10.37,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2000-12-31T00:00:00,10.17,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2001-12-31T00:00:00,10.18,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2002-12-31T00:00:00,10.19,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2003-12-31T00:00:00,10.1,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2004-12-31T00:00:00,10.3,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2005-12-31T00:00:00,10.42,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2006-12-31T00:00:00,10.52,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2007-12-31T00:00:00,10.58,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2008-12-31T00:00:00,10.76,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2009-12-31T00:00:00,10.8,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2010-12-31T00:00:00,10.94,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2011-12-31T00:00:00,11.09,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2012-12-31T00:00:00,11.15,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2013-12-31T00:00:00,11.14,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2014-12-31T00:00:00,11.18,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2015-12-31T00:00:00,11.31,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2016-12-31T00:00:00,11.63,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2017-12-31T00:00:00,11.77,Yearly,USNURS,2020-03-20T18:09:00
United States,Nurses,2018-12-31T00:00:00,11.89,Yearly,USNURS,2021-08-03T15:58:00
United States,Nurses,2019-12-31T00:00:00,11.98,Yearly,USNURS,2021-08-03T15:58:00
United States,Nurses,2020-12-31T00:00:00,11.79,Yearly,USNURS,2021-08-03T15:58:00
