Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Pandemic Unemployment Assistance Claims,2020-04-04T00:00:00,32.078,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-04-11T00:00:00,78.893,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-04-18T00:00:00,218.5,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-04-25T00:00:00,681.58,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-05-02T00:00:00,1048.848,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-05-09T00:00:00,889.228,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-05-16T00:00:00,1272.971,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-05-23T00:00:00,1352.285,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-05-30T00:00:00,793.787,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-06-06T00:00:00,701.58,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-06-13T00:00:00,765.447,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-06-20T00:00:00,874.855,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-06-27T00:00:00,989.622,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-07-04T00:00:00,861.804,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-07-11T00:00:00,950.668,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-07-18T00:00:00,944.685,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-07-25T00:00:00,899.921,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-08-01T00:00:00,649.092,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-08-08T00:00:00,481.731,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-08-15T00:00:00,514.747,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-08-22T00:00:00,592.618,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-08-29T00:00:00,753.524,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-09-05T00:00:00,867.631,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-09-12T00:00:00,675.632,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-09-19T00:00:00,630.08,Weekly,UNITEDSTAPUAC,2020-11-09T13:48:00
United States,Pandemic Unemployment Assistance Claims,2020-09-26T00:00:00,450.768,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-10-03T00:00:00,377.722,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-10-10T00:00:00,335.95,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-10-17T00:00:00,345.44,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-10-24T00:00:00,357.564,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-10-31T00:00:00,359.496,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
United States,Pandemic Unemployment Assistance Claims,2020-11-07T00:00:00,292.037,Weekly,UNITEDSTAPUAC,2021-04-01T13:30:00
