Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Pce Price Index,1959-01-31T00:00:00,16.074,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-02-28T00:00:00,16.089,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-03-31T00:00:00,16.1,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-04-30T00:00:00,16.132,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-05-31T00:00:00,16.14,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-06-30T00:00:00,16.186,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-07-31T00:00:00,16.22,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-08-31T00:00:00,16.244,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-09-30T00:00:00,16.286,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-10-31T00:00:00,16.326,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-11-30T00:00:00,16.336,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1959-12-31T00:00:00,16.355,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-01-31T00:00:00,16.346,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-02-29T00:00:00,16.363,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-03-31T00:00:00,16.372,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-04-30T00:00:00,16.432,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-05-31T00:00:00,16.449,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-06-30T00:00:00,16.456,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-07-31T00:00:00,16.485,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-08-31T00:00:00,16.513,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-09-30T00:00:00,16.523,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-10-31T00:00:00,16.542,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-11-30T00:00:00,16.598,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1960-12-31T00:00:00,16.601,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-01-31T00:00:00,16.604,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-02-28T00:00:00,16.62,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-03-31T00:00:00,16.61,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-04-30T00:00:00,16.6,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-05-31T00:00:00,16.609,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
United States,Pce Price Index,1961-06-30T00:00:00,16.617,Monthly,UNITEDSTAPCEPRIIND,2018-07-31T13:40:00
