Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Private Debt to GDP,1995-12-31T00:00:00,162.9,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,1996-12-31T00:00:00,164.9,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,1997-12-31T00:00:00,164.2,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,1998-12-31T00:00:00,172.8,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,1999-12-31T00:00:00,181.2,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2000-12-31T00:00:00,190.5,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2001-12-31T00:00:00,193.9,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2002-12-31T00:00:00,197.8,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2003-12-31T00:00:00,198.8,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2004-12-31T00:00:00,203,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2005-12-31T00:00:00,209.5,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2006-12-31T00:00:00,215.6,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2007-12-31T00:00:00,223.8,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2008-12-31T00:00:00,223.9,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2009-12-31T00:00:00,224.5,Yearly,UnitedStPriDebtoGDP,2020-07-13T15:43:00
United States,Private Debt to GDP,2010-12-31T00:00:00,216.7,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2011-12-31T00:00:00,212.1,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2012-12-31T00:00:00,209.8,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2013-12-31T00:00:00,209,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2014-12-31T00:00:00,209.5,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2015-12-31T00:00:00,210.6,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2016-12-31T00:00:00,215.8,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2017-12-31T00:00:00,214.4,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2018-12-31T00:00:00,214,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2019-12-31T00:00:00,218,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
United States,Private Debt to GDP,2020-12-31T00:00:00,235.5,Yearly,UnitedStPriDebtoGDP,2021-05-17T15:26:00
