Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Private Sector Credit,1950-01-31T00:00:00,39.0415,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-02-28T00:00:00,39.6061,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-03-31T00:00:00,40.2129,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-04-30T00:00:00,40.8136,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-05-31T00:00:00,41.3628,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-06-30T00:00:00,41.9142,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-07-31T00:00:00,42.7255,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-08-31T00:00:00,43.6913,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-09-30T00:00:00,44.6291,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-10-31T00:00:00,45.5261,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-11-30T00:00:00,46.4138,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1950-12-31T00:00:00,47.295,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-01-31T00:00:00,48.061,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-02-28T00:00:00,48.7107,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-03-31T00:00:00,49.3793,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-04-30T00:00:00,50.0452,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-05-31T00:00:00,50.6744,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-06-30T00:00:00,51.3065,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-07-31T00:00:00,51.7314,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-08-31T00:00:00,52.0001,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-09-30T00:00:00,52.2604,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-10-31T00:00:00,52.5364,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-11-30T00:00:00,52.8176,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1951-12-31T00:00:00,53.047,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-01-31T00:00:00,53.4976,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-02-29T00:00:00,54.004,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-03-31T00:00:00,54.2966,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-04-30T00:00:00,54.7377,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-05-31T00:00:00,55.2628,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-06-30T00:00:00,56.1472,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-07-31T00:00:00,56.6071,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-08-31T00:00:00,56.9242,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-09-30T00:00:00,57.102,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-10-31T00:00:00,57.7764,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-11-30T00:00:00,58.5607,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1952-12-31T00:00:00,58.7172,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-01-31T00:00:00,59.1898,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-02-28T00:00:00,59.6419,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-03-31T00:00:00,60.2853,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-04-30T00:00:00,60.8892,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-05-31T00:00:00,61.3176,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
United States,Private Sector Credit,1953-06-30T00:00:00,61.5892,Monthly,UNITEDSTAPRISECCRE,2016-08-29T16:56:00
