Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Productivity,1950-03-31T00:00:00,25.97,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1950-06-30T00:00:00,26.289,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1950-09-30T00:00:00,26.857,Quarterly,UNITEDSTAPRO,2020-03-05T13:39:00
United States,Productivity,1950-12-31T00:00:00,26.906,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1951-03-31T00:00:00,26.937,Quarterly,UNITEDSTAPRO,2020-03-05T13:39:00
United States,Productivity,1951-06-30T00:00:00,26.853,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1951-09-30T00:00:00,27.458,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1951-12-31T00:00:00,27.539,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1952-03-31T00:00:00,27.68,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1952-06-30T00:00:00,27.625,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1952-09-30T00:00:00,27.489,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1952-12-31T00:00:00,28.062,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1953-03-31T00:00:00,28.304,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1953-06-30T00:00:00,28.373,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1953-09-30T00:00:00,28.494,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1953-12-31T00:00:00,28.399,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1954-03-31T00:00:00,28.459,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1954-06-30T00:00:00,28.659,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1954-09-30T00:00:00,29.177,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1954-12-31T00:00:00,29.503,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1955-03-31T00:00:00,30.081,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1955-06-30T00:00:00,30.186,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1955-09-30T00:00:00,30.297,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1955-12-31T00:00:00,30.186,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1956-03-31T00:00:00,29.824,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1956-06-30T00:00:00,29.97,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1956-09-30T00:00:00,29.964,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1956-12-31T00:00:00,30.286,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1957-03-31T00:00:00,30.634,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1957-06-30T00:00:00,30.512,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1957-09-30T00:00:00,30.942,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1957-12-31T00:00:00,31.051,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1958-03-31T00:00:00,30.63,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1958-06-30T00:00:00,31.214,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1958-09-30T00:00:00,31.799,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1958-12-31T00:00:00,32.338,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1959-03-31T00:00:00,32.375,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1959-06-30T00:00:00,32.686,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1959-09-30T00:00:00,32.73,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1959-12-31T00:00:00,32.627,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1960-03-31T00:00:00,33.389,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1960-06-30T00:00:00,32.871,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1960-09-30T00:00:00,33.069,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1960-12-31T00:00:00,32.636,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1961-03-31T00:00:00,33.055,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1961-06-30T00:00:00,33.926,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1961-09-30T00:00:00,34.504,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1961-12-31T00:00:00,34.795,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
United States,Productivity,1962-03-31T00:00:00,35.366,Quarterly,UNITEDSTAPRO,2021-03-04T13:50:00
