Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Stock Market,1982-06-11T00:00:00,809.74,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-14T00:00:00,801.85,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-15T00:00:00,801.27,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-16T00:00:00,796.9,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-17T00:00:00,791.48,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-18T00:00:00,788.62,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-21T00:00:00,789.95,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-22T00:00:00,799.66,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-23T00:00:00,813.17,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-24T00:00:00,810.41,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-25T00:00:00,803.08,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-28T00:00:00,811.93,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-29T00:00:00,812.21,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-06-30T00:00:00,811.93,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-01T00:00:00,803.27,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-02T00:00:00,796.99,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-05T00:00:00,796.99,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-06T00:00:00,798.9,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-07T00:00:00,799.66,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-08T00:00:00,804.98,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-09T00:00:00,814.12,Daily,INDU,2021-08-17T18:03:08.463
United States,Stock Market,1982-07-12T00:00:00,824.87,Daily,INDU,2021-08-17T18:03:08.463
