Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Terms of Trade,1967-03-31T00:00:00,170.09,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1967-06-30T00:00:00,169.959,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1967-09-30T00:00:00,169.241,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1967-12-31T00:00:00,169.848,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1968-03-31T00:00:00,169.49,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1968-06-30T00:00:00,172.448,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1968-09-30T00:00:00,169.433,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1968-12-31T00:00:00,169.094,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1969-03-31T00:00:00,170.974,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1969-06-30T00:00:00,169.859,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1969-09-30T00:00:00,171.242,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1969-12-31T00:00:00,170.261,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1970-03-31T00:00:00,169.322,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1970-06-30T00:00:00,171.186,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1970-09-30T00:00:00,164.652,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1970-12-31T00:00:00,162.914,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1971-03-31T00:00:00,164.888,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1971-06-30T00:00:00,165.088,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1971-09-30T00:00:00,161.588,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1971-12-31T00:00:00,160.758,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1972-03-31T00:00:00,159.019,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1972-06-30T00:00:00,155.439,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1972-09-30T00:00:00,153.332,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1972-12-31T00:00:00,154.325,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1973-03-31T00:00:00,155.671,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1973-06-30T00:00:00,151.297,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1973-09-30T00:00:00,154.171,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1973-12-31T00:00:00,150.188,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1974-03-31T00:00:00,136.224,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1974-06-30T00:00:00,124.699,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1974-09-30T00:00:00,125.331,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1974-12-31T00:00:00,128.434,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1975-03-31T00:00:00,130.303,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1975-06-30T00:00:00,129.47,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1975-09-30T00:00:00,132.71,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1975-12-31T00:00:00,133.641,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1976-03-31T00:00:00,132.866,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1976-06-30T00:00:00,131.926,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1976-09-30T00:00:00,130.123,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1976-12-31T00:00:00,131.349,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1977-03-31T00:00:00,128.064,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1977-06-30T00:00:00,126.08,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1977-09-30T00:00:00,123.373,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1977-12-31T00:00:00,122.6,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1978-03-31T00:00:00,122.965,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1978-06-30T00:00:00,123.199,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1978-09-30T00:00:00,123.516,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1978-12-31T00:00:00,125.951,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1979-03-31T00:00:00,124.985,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1979-06-30T00:00:00,123.639,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1979-09-30T00:00:00,117.007,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1979-12-31T00:00:00,110.922,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1980-03-31T00:00:00,104.752,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1980-06-30T00:00:00,101.881,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1980-09-30T00:00:00,102.015,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1980-12-31T00:00:00,103.73,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1981-03-31T00:00:00,103.252,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1981-06-30T00:00:00,102.818,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1981-09-30T00:00:00,106.06,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1981-12-31T00:00:00,106.145,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1982-03-31T00:00:00,107.106,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1982-06-30T00:00:00,108.61,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
United States,Terms of Trade,1982-09-30T00:00:00,108.34,Quarterly,UNITEDSTATEROFTRA,2020-02-14T13:52:00
