Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Weapons Sales,1950-12-31T00:00:00,1427,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1951-12-31T00:00:00,4041,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1952-12-31T00:00:00,6890,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1953-12-31T00:00:00,10124,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1954-12-31T00:00:00,6388,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1955-12-31T00:00:00,7105,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1956-12-31T00:00:00,8502,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1957-12-31T00:00:00,8541,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1958-12-31T00:00:00,9606,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1959-12-31T00:00:00,7573,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1960-12-31T00:00:00,6001,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1961-12-31T00:00:00,6301,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1962-12-31T00:00:00,6104,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1963-12-31T00:00:00,9351,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1964-12-31T00:00:00,12312,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1965-12-31T00:00:00,11268,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1966-12-31T00:00:00,8466,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1967-12-31T00:00:00,7250,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1968-12-31T00:00:00,8378,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1969-12-31T00:00:00,11842,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1970-12-31T00:00:00,9033,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1971-12-31T00:00:00,11760,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1972-12-31T00:00:00,10841,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1973-12-31T00:00:00,12016,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1974-12-31T00:00:00,12834,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1975-12-31T00:00:00,15731,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1976-12-31T00:00:00,15649,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1977-12-31T00:00:00,14377,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1978-12-31T00:00:00,14051,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1979-12-31T00:00:00,9784,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1980-12-31T00:00:00,10736,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1981-12-31T00:00:00,13610,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1982-12-31T00:00:00,14017,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1983-12-31T00:00:00,13937,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1984-12-31T00:00:00,11890,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1985-12-31T00:00:00,10808,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1986-12-31T00:00:00,11647,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1987-12-31T00:00:00,12232,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1988-12-31T00:00:00,11869,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1989-12-31T00:00:00,11319,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1990-12-31T00:00:00,10663,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1991-12-31T00:00:00,12475,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1992-12-31T00:00:00,14079,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1993-12-31T00:00:00,13819,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1994-12-31T00:00:00,11489,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1995-12-31T00:00:00,11194,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1996-12-31T00:00:00,10855,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1997-12-31T00:00:00,14513,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1998-12-31T00:00:00,15714,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,1999-12-31T00:00:00,11544,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2000-12-31T00:00:00,7571,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2001-12-31T00:00:00,5589,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2002-12-31T00:00:00,4891,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2003-12-31T00:00:00,5664,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2004-12-31T00:00:00,6847,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2005-12-31T00:00:00,6787,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2006-12-31T00:00:00,7545,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2007-12-31T00:00:00,7864,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2008-12-31T00:00:00,6807,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2009-12-31T00:00:00,6879,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2010-12-31T00:00:00,8062,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2011-12-31T00:00:00,8940,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2012-12-31T00:00:00,9056,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2013-12-31T00:00:00,7485,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2014-12-31T00:00:00,9604,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2015-12-31T00:00:00,9937,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2016-12-31T00:00:00,9868,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2017-12-31T00:00:00,12070,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2018-12-31T00:00:00,9895,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2019-12-31T00:00:00,10788,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
United States,Weapons Sales,2020-12-31T00:00:00,9372,Yearly,UnitedStWeaSal,2021-03-15T14:10:00
